band	focal	pos	frequencies	ld	true_region_size	matched_region_size	matched_start	matched_end	region_gen_size	matched_gen_size	selection_snp_count	selection_snp_count_50kb	selection_snp_count_100kb	selection_snp_count_200kb	num_gene_overlaps	meiotic_genes	meiotic_genes_all	gene_overlap_strong	gwas	eqtl
1p34.2	1	41598848	0.58 0.9 0.68 0.56 0.46	0.0 0.01 0.01 0.36 1.16	234105	234104	41476203	41710307	0.02	0.02	0	0	0	0	4	2	1	1	"Appendicular lean mass(rs2885697:0.62:-0.03;rs2885697:0.64:-0.03);Arm fat-free mass (left)(rs2885697:0.64:-0.01);Arm predicted mass (left)(rs2885697:0.64:-0.01);Arm predicted mass (right)(rs2885697:0.64:-0.01);Diastolic blood pressure(rs1740610:0.6:0.01);FEV1(rs2885697:0.64:-0.01);Fat-free mass(rs2885697:0.64:NA);Forced expiratory volume in 1-second (fev1)(rs2885697:0.64:-0.01);Forced expiratory volume in 1-second (fev1), best measure(rs2885697:0.64:-0.02);Forced vital capacity (fvc)(rs2749418:1:-0.02);Forced vital capacity (fvc), best measure(rs2885697:0.64:-0.02);Heel bone mineral density (MTAG)(rs12408576:0.98:-0.02);Heel bone mineral density T score(rs2011982:0.6:0.02);Height(rs6686842:1:-0.05;rs61780435:0.6:NA;rs2011981:0.6:-0.04);Hip circumference adjusted for BMI(rs3157:0.91:0.02);Insulin-like growth factor 1 levels(rs1740610:0.6:0.02);Lung function (FVC)(rs2749418:1:NA;rs2885697:0.64:-0.02);Platelet count(rs2885697:0.64:0.01);Total body bone mineral density (MTAG)(rs12408576:0.98:-0.03);Trunk predicted mass(rs2885697:0.64:-0.11);Waist circumference adjusted for body mass index(rs17357954:0.6:NA)"	CTPS1(eqtl:1:rs11579483;sqtl:0.7:rs11579483);FOXO6(eqtl:0.5:rs4360513);SCMH1(eqtl:0.8:rs4360513;sqtl:1:rs4360513);SLFNL1(eqtl:0.6:rs10889792)
1p34.2	0	6923726	0.57 0.6 0.74 0.64 0.53	0.0 0.01 0.01 0.28 1.08	234105	234105	6806673	7040778	0.02	0.07	0	0	0	0	2	1	0	0	0	CAMTA1(sqtl:0.6:rs1972306);PHF13(eqtl:0.2:rs1972306)
1p34.2	0	8531326	0.58 0.67 0.51 0.83 0.6	0.0 0.01 0.01 0.38 1.01	234105	234105	8414273	8648378	0.02	0.03	0	0	0	0	3	1	0	0	"Allergic disease (asthma, hay fever or eczema)(rs1922983:1:0.04);Asthma or allergic disease (pleiotropy)(rs301805:0.73:NA);Asthma | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs1922983:1:0.04);Asthma | non-cancer illness code, self-reported(rs1922983:1:0.04);Asthma(rs159960:0.66:NA;rs1922983:1:0.04;rs1922983:1:0);Daytime nap(rs1922983:1:0.01);Depressed affect(rs3795310:0.65:0.01);Eosinophil counts(rs301805:0.73:0.02;rs1922983:1:0.02;rs1922983:1:0.02;rs1922983:1:0.02);Eosinophil percentage of granulocytes(rs1922983:1:0.03);Eosinophil percentage of white cells(rs1922983:1:0.02;rs1922983:1:0.03);Eosinophill count(rs1922983:1:0.01);Eosinophill percentage(rs1922983:1:0.04);Feeling miserable(rs3795310:0.65:0.01);Feeling tense(rs1922983:1:-0.01);Hayfever, allergic rhinitis or eczema | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs1922983:1:0.04);Heel bone mineral density (bmd) t-score, automated(rs1922983:1:-0.03);Heel bone mineral density (bmd)(rs1922983:1:0);Heel bone mineral density(rs1922983:1:-0.02;rs1922983:1:-0.02);Heel broadband ultrasound attenuation, direct entry(rs1922983:1:-0.4);Heel quantitative ultrasound index (qui), direct entry(rs1922983:1:-0.46);Hypertension | non-cancer illness code, self-reported(rs1922983:1:0.03);Leg fat percentage (left)(rs1922983:1:0.08);Leg fat percentage (right)(rs1922983:1:0.08);Loneliness(rs159960:0.66:NA);Lymphocyte counts(rs301805:0.73:-0.02;rs1922983:1:-0.02;rs1922983:1:-0.02;rs1922983:1:-0.02);Medication use (adrenergics, inhalants)(rs159960:0.72:0.05;rs159960:0.66:0.06);Miserableness(rs3795310:0.65:NA);Neutrophil count(rs301805:0.73:-0.01;rs1922983:1:-0.01;rs1922983:1:-0.01);Neutrophil percentage of granulocytes(rs1922983:1:-0.03);None of the above | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor(rs1922983:1:-0.04);None of the above | vascular/heart problems diagnosed by doctor(rs1922983:1:-0.03);Smoking initiation(rs301805:0.73:NA);Smoking status (ever vs never smokers)(rs301805:0.73:0.01);Smoking status(rs301805:0.73:NA);Systemic lupus erythematosus(rs3795310:0.71:NA);Tense / 'highly strung'(rs1922983:1:-0.04);Thyroid problem (not cancer)(rs301805:0.73:NA;rs1922983:1:0);Vertex-wise sulcal depth(rs3795310:0.65:7.22);White blood cell count(rs1922983:1:-0.02;rs1922983:1:-0.02;rs1922983:1:-0.02)"	ENO1(eqtl:0.8:rs1922983);RERE(eqtl:1:rs1922983;sqtl:0.9:rs1922983);SLC45A1(eqtl:0.4:rs1922983)
1p34.2	0	21234923	0.59 0.54 0.63 0.83 0.6	0.0 0.0 0.0 0.3 0.99	234105	234105	21117870	21351975	0.02	0.02	0	0	0	0	2	1	0	0	Adventurousness(rs12404954:0.82:0.01);Basophil count(rs4654887:1:-0.02;rs4654887:1:-0.01);Basophil percentage of white cells(rs4654887:1:-0.01);Basophill percentage(rs4654887:1:-0.01);C-reactive protein levels(rs4654887:1:-0.01);Chronotype(rs10916892:0.89:NA);Depressive symptoms(rs3767247:0.89:-0.01);Getting up in morning(rs4654887:1:0.01);Height(rs4654887:1:0.01);Hematocrit(rs61781106:0.89:-0.01;rs4654887:1:-0.01);Insulin-like growth factor 1 levels(rs12723255:0.99:0;rs4654887:1:0.01);Life satisfaction(rs10737452:0.89:0.01);Lymphocyte counts(rs6698440:0.76:-0.01);Mean corpuscular hemoglobin concentration(rs4654887:1:0.01);Mean corpuscular hemoglobin(rs4654887:1:0.01;rs4654887:1:0.01);Mean corpuscular volume(rs4654887:1:0.01;rs4654887:1:0.01;rs4654887:1:0.01);Mean sphered cell volume(rs4654887:1:0.01);Mean spheric corpuscular volume(rs4654887:1:0.02);Morning person(rs3767240:0.86:NA;rs10916892:0.89:NA);Morning/evening person (chronotype)(rs4654887:1:-0.01);Morningness(rs10916866:0.83:-0.02);Neuroticism score(rs57351360:0.89:-0.05);Neuroticism(rs3767247:0.89:-0.01);Physical activity (walking duration)(rs7548269:0.82:0.03);Positive affect(rs3767247:0.89:-0.01);Red blood cell (erythrocyte) count(rs1212250949:0.75:-0.01;rs4654887:1:-0.01);Red blood cell count(rs17410008:0.89:NA;rs61781106:0.89:-0.02;rs4654887:1:-0.02;rs4654887:1:-0.02;rs4654887:1:-0.02);Standing height(rs4654887:1:0.09);Well-being spectrum (multivariate analysis)(rs4654874:0.82:0.01)	ECE1(eqtl:0.5:rs4654887;sqtl:0.7:rs4654887);EIF4G3(eqtl:0.8:rs4654887;sqtl:0.7:rs4654887);HP1BP3(eqtl:0.9:rs4654887);KIF17(eqtl:0.5:rs4654887;sqtl:0.6:rs4654887);SH2D5(eqtl:0.2:rs4654887)
1p34.2	0	48691564	0.63 0.88 0.57 0.39 0.75	0.0 0.02 0.03 0.36 1.21	234105	234105	48574511	48808616	0.02	0.04	0	0	0	0	3	1	0	0	0	SLC5A9(eqtl:0.9:rs12139099;sqtl:0.3:rs12139099);SPATA6(eqtl:0.6:rs12139099;sqtl:0.6:rs12139099)
1p34.2	0	84465545	0.55 0.74 0.66 0.72 0.55	0.0 0.01 0.02 0.15 1.1	234105	234105	84348492	84582597	0.02	0.03	0	0	0	0	3	2	0	0	0	PRKACB(eqtl:0.3:rs2147950;sqtl:0.1:rs2147950);TTLL7(eqtl:0.6:rs2147950)
1p34.2	0	117960332	0.63 0.6 0.57 0.67 0.73	0.0 0.0 0.01 0.62 1.18	234105	234105	117843279	118077384	0.02	0.02	0	0	0	0	2	1	0	0	0	MAN1A2(eqtl:0.5:rs61805765)
1p34.2	0	155172379	0.54 0.62 0.55 0.78 0.71	0.0 0.01 0.01 0.17 1.19	234105	234105	155055326	155289431	0.02	0.05	5	6	6	9	19	12	0	0	Benign neoplasm of other parts of digestive system(rs2066981:1:0.15);Dentures | mouth/teeth dental problems(rs2066981:1:0.04);Estimated glomerular filtration rate in non-diabetics(rs6676150:0.66:NA);Gout(rs6676150:0.65:NA);Haematocrit percentage(rs2066981:1:0.07);Haemoglobin concentration(rs2066981:1:0.02);Hematocrit(rs6676150:0.65:-0.04);Hemoglobin concentration(rs6676150:0.65:-0.03;rs6676150:0.65:-0.03);Impedance of leg (left)(rs2066981:1:0.47);Impedance of leg (right)(rs2066981:1:0.45);Low density lipoprotein cholesterol levels(rs6676150:0.65:-0.01);None of the above | mouth/teeth dental problems(rs2066981:1:-0.03);Red blood cell (erythrocyte) count(rs2066981:1:0.01);Red blood cell count(rs6676150:0.65:-0.02;rs6676150:0.65:-0.03;rs6676150:0.65:-0.03)	ADAM15(eqtl:0.9:rs2066981);DAP3(eqtl:0.6:rs2066981);DPM3(eqtl:0.4:rs2066981);GBA(eqtl:0.4:rs2066981);KRTCAP2(eqtl:0.4:rs2066981);MTX1(eqtl:0.8:rs2066981);RIT1(eqtl:0.4:rs2066981);SEMA4A(eqtl:0.1:rs2066981);SYT11(eqtl:0.4:rs2066981);THBS3(eqtl:1:rs2066981);TRIM46(eqtl:0.5:rs2066981);YY1AP1(eqtl:0.6:rs2066981)
1p34.2	0	184172366	0.55 0.8 0.55 0.57 0.7	0.0 0.02 0.06 0.5 1.05	234105	234105	184055313	184289418	0.02	0.08	0	0	0	0	1	1	0	0	0	COLGALT2(eqtl:0.5:rs4651182);TSEN15(eqtl:0.8:rs4651182)
1p34.2	0	210027026	0.61 0.7 0.56 0.75 0.65	0.01 0.01 0.04 0.57 1.35	234105	234105	209909973	210144078	0.02	0.08	0	0	0	0	6	1	0	0	Mean corpuscular volume(rs6689839:1:0.01);Mean spheric corpuscular volume(rs6689839:1:0.01);Monobrow(rs7542091:0.7:NA)	IRF6(eqtl:0.9:rs6689839);SYT14(eqtl:0.9:rs6689839);TRAF3IP3(eqtl:0.8:rs6689839;sqtl:0.1:rs6689839);UTP25(eqtl:0.9:rs6689839)
