POP,IN_SPAN,R2,CLADESIZE,AF_EUR,START,END,TIME_LOW,TIME_HIGH,SNP,MRCA
EUR,0,0.87535118,200,0.198807157,43570912.5,43572888.5,4104.433105,52516.69922,43572419,52516.69922
EUR,0,0.986474036,241,0.239562624,43572888.5,43575212,4447.040527,172356.2656,43574611 43573419 43574935,172356.2656
EUR,0,0.797689897,170,0.168986083,43575212,43578775,6129.087402,13918.71484,,58103.08203
EUR,0,0.781421335,163,0.162027833,43578775,43580022.5,802.8132935,2373.483643,,94358.25781
EUR,0,0.773120074,167,0.166003976,43580022.5,43580105.5,1158.320923,2341.916748,,46764.00781
EUR,0,0.773120074,167,0.166003976,43580105.5,43580782.5,1935.336426,3557.094482,,38441.88281
EUR,0,0.767787563,165,0.164015905,43580782.5,43581718.5,1622.374268,2966.875,,88152.45313
EUR,0,0.776222893,168,0.166998012,43581718.5,43581749,2838.026123,9315.417969,,76990.84375
EUR,0,0.773282435,164,0.163021869,43581749,43584586.5,5094.293457,8466.648438,,32475.02148
EUR,0,0.763193423,155,0.154075547,43584586.5,43587701.5,1485.988037,3103.019043,,49406.0625
EUR,0,0.580546598,102,0.10139165,43587701.5,43587878.5,5526.754883,11800.44629,,52062.56641
EUR,0,0.472785576,32,0.031809145,43587878.5,43589264.5,870.9383545,1109.484863,,64797.75391
EUR,0,0.500415138,45,0.04473161,43589264.5,43597586,790.8525391,888.8028564,,52902.82813
EUR,0,0.732203118,169,0.167992048,43597586,43598134.5,558.9055176,589.1257324,,110411.5313
EUR,0,0.73306369,169,0.167992048,43598134.5,43598257.5,589.9259644,610.1383057,,63797.78125
EUR,0,0.73306369,169,0.167992048,43598257.5,43607659,564.7103271,596.390686,,80611.39844
EUR,0,0.567161591,116,0.115308151,43607659,43612584.5,3144.610107,3351.090576,,74870.14844
EUR,0,0.575781878,64,0.06361829,43612584.5,43614787,1041.878784,1256.707397,,75147.19531
EUR,0,0.776778617,170,0.168986083,43614787,43626683,837.5410767,876.5738525,,42819.27344
EUR,0,0.720423949,278,0.276341948,43626683,43639840,1035.351318,1244.484375,,41506.88672
EUR,0,0.617650012,115,0.114314115,43639840,43640578.5,489.4487915,575.2996216,,39248.53906
EUR,0,0.630227903,121,0.12027833,43640578.5,43641177.5,575.3620605,611.5244751,,45278.55859
EUR,0,0.62875853,121,0.12027833,43641177.5,43642309.5,491.6408386,523.5181885,,62045.34766
EUR,0,0.622422972,118,0.117296223,43642309.5,43642837.5,568.8324585,608.5110474,,39678.32422
EUR,0,0.622422972,118,0.117296223,43642837.5,43644892,592.0219116,605.0058594,,47917.45703
EUR,0,0.62875853,121,0.12027833,43644892,43646465.5,651.505127,839.1698608,,47952.92969
