chromosome,population,genetic_map,total_clades,clade_num,clade_id,nlog10p,nlog10p_event,cladesize,duration,start,end,mut_duration,event_duration,left_mut,right_mut,num_mutations,merged,chunk_index,tree_index,node_id,band
chr1,AFR,HapMapII_GRCh37,23544467,15505327,83779,17.15255671,19.09136742,611,262531,175906676,176169208,254377,126,175907495,176161872,19,14,98,962,1312744,1q25.1-2
chr1,AFR,HapMapII_GRCh37,23544467,15505331,83781,14.57558212,14.3767764,414,169065,175906676,176075741,168192,91,175907544,176075736,28,11,98,962,1317072,1q25.1-1
chr1,AFR,HapMapII_GRCh37,23544467,15505333,83782,17.75117004,17.40003174,716,157906,175906676,176064582,156944,83,175907242,176064186,12,7,98,962,1319412,1q25.1-2
chr1,AFR,HapMapII_GRCh37,23544467,19913300,113074,13.17502156,10.61255019,546,134063,225117769,225251832,130892,54,225118282,225249174,63,8,129,384,1318879,1q42.12
chr1,AFR,HapMapII_GRCh37,23544467,19913612,113091,11.80923771,10.50633907,445,197986,225121907,225319893,150243,61,225121914,225272157,24,14,129,386,1314906,1q42.12
chr1,AMR,HapMapII_GRCh37,17561020,4129155,13407,10.61457736,15.79659999,463,213524,39701495,39915019,205543,63,39705458,39911001,37,4,31,539,689928,1p34.3
chr1,AMR,HapMapII_GRCh37,17561020,4241837,13959,11.78126074,15.44044527,317,224744,41485563,41710307,209668,69,41497443,41707111,32,14,32,551,690426,1p34.2
chr1,AMR,HapMapII_GRCh37,17561020,4712426,16202,13.10896014,20.17539892,378,198606,48725511,48924117,192408,84,48727052,48919460,15,8,36,716,691674,1p33
chr1,AMR,HapMapII_GRCh37,17561020,4712833,16214,10.4956452,14.43868519,306,174702,48736352,48911054,174619,70,48736357,48910976,10,7,36,722,690608,1p33
chr1,AMR,HapMapII_GRCh37,17561020,11557269,51840,11.25060028,22.48697567,308,262531,175906676,176169208,257073,126,175907544,176164617,43,13,98,962,681940,1q25.1
chr1,AMR,HapMapII_GRCh37,17561020,15025000,70556,11.76426062,12.3632189,103,289070,227217956,227507026,284748,157,227219865,227504613,35,0,130,685,679817,1q42.13
chr1,AMR,HapMapII_GRCh37,17561020,15025149,70565,19.79510625,13.95463569,228,179179,227220158,227399337,169987,85,227220175,227390162,26,16,130,688,687945,1q42.13
chr1,AMR,HapMapII_GRCh37,17561020,15028632,70584,10.54995749,16.07867079,188,165514,227341512,227507026,159617,100,227341898,227501515,55,22,130,742,691129,1q42.13
chr1,EAS,HapMapII_GRCh37,23321818,10113276,21405,11.63697199,13.74396369,944,310720,93538075,93848795,296933,92,93550257,93847190,21,7,64,313,1006882,1p22.1
chr1,EAS,HapMapII_GRCh37,23321818,19779420,45847,14.53249964,10.68767125,952,351630,225062986,225414616,351017,160,225062987,225414004,12,11,129,360,1007322,1q42.12
chr1,EAS,HapMapII_GRCh37,23321818,19785900,45877,10.75646757,11.14455478,714,132953,225200775,225333728,126602,56,225202426,225329028,30,7,129,419,1005847,1q42.12
chr1,EAS,HapMapII_GRCh37,23321818,19962185,46383,10.82619437,11.51974212,241,229760,227215955,227445716,204458,114,227217412,227421870,49,1,130,682,981761,1q42.13
chr1,EUR,HapMapII_GRCh37,21005137,5700776,12094,10.98215208,17.56831025,662,193173,48730944,48924117,186562,81,48732898,48919460,11,8,36,717,1004782,1p33
chr1,EUR,HapMapII_GRCh37,21005137,13841339,39700,10.63261107,21.2268056,329,277160,175903778,176180939,195754,105,175908200,176103954,10,10,98,960,999800,1q25.1
chr1,EUR,HapMapII_GRCh37,21005137,13841673,39712,11.32964029,18.66536822,783,168894,175911251,176080146,159150,91,175919254,176078404,13,12,98,964,1002981,1q25.1
chr1,EUR,HapMapII_GRCh37,21005137,13841675,39714,12.18611591,20.8063353,874,269687,175911251,176180939,260751,126,175919095,176179846,25,18,98,964,1003975,1q25.1-1
chr1,EUR,HapMapII_GRCh37,21005137,17970078,54128,15.267755,16.38112858,205,289070,227217956,227507026,283490,156,227221123,227504613,32,3,130,685,995232,1q42.13
chr1,SAS,HapMapII_GRCh37,24474486,5906896,11017,14.94939242,17.79986942,667,234103,41476203,41710307,226312,76,41480799,41707111,35,13,32,549,975960,1p34.2
chr1,SAS,HapMapII_GRCh37,24474486,5906957,11018,11.04968453,12.0397594,213,230444,41479862,41710307,228580,76,41480895,41709475,18,5,32,550,975257,1p34.2
